category,walk_id,sample_id,rank_group,step,fitness,genotype,mutation_attempts
f0,0-1,1,best,0,0.0304687134650646,"//0
p:
p:1.098, 0.027, 0.026
p:0.999, 0.265, 0.629
p:1.256, -0.178, 0.303
j:0, 1, rotstif=0.99
j:2, 1
j:3, 1
",0
f0,0-1,1,best,1,0.030326256606577846,"//0
p:
p:1.098, 0.027, 0.026
p:0.999, 0.265, 0.629
p:1.256, -0.178, 0.303
j:0, 1, rotstif=0.99
j:2, 1
j:3, 1, stif=0.975
",1
f0,0-1,1,best,2,0.03046447304084327,"//0
p:
p:1.098, 0.027, 0.026
p:0.999, 0.265, 0.629
p:1.256, -0.178, 0.303
j:3, 1, rotstif=0.99
j:2, 1
j:0, 1, stif=0.975
",1
f0,0-1,1,best,3,0.06812072535040253,"//0
p:
p:1.098, 0.027, 0.026
p:0.999, 0.265, 0.629
p:1.447, -0.267, 0.457
j:3, 1, rotstif=0.99
j:2, 1
j:0, 1, stif=0.975
",1
f0,0-1,1,best,4,0.06812072535040253,"//0
p:
p:1.098, 0.027, 0.026
p:0.999, 0.265, 0.629, ing=0.075
p:1.447, -0.267, 0.457
j:3, 1, rotstif=0.99
j:2, 1
j:0, 1, stif=0.975
",1
f0,0-1,1,best,5,0.07665955852306715,"//0
p:
p:1.098, 0.027, 0.026
p:0.999, 0.265, 0.629, ing=0.075
p:1.447, -0.267, 0.457
p:0.717, 0.038, 1.349
j:3, 1, rotstif=0.99
j:2, 1
j:0, 1, stif=0.975
j:4, 3
",2
f0,0-1,1,best,6,0.07665955852306715,"//0
p:
p:1.098, 0.027, 0.026
p:0.999, 0.265, 0.629, ing=0.075
p:1.447, -0.267, 0.457
p:0.717, 0.038, 1.349, ing=0.268
j:3, 1, rotstif=0.99
j:2, 1
j:0, 1, stif=0.975
j:4, 3
",1
f0,0-1,1,best,7,0.07667136843414124,"//0
p:fr=1.057
p:1.098, 0.027, 0.026
p:0.999, 0.265, 0.629, ing=0.075
p:1.447, -0.267, 0.457
p:0.717, 0.038, 1.349, ing=0.268
j:3, 1, rotstif=0.99
j:2, 1
j:0, 1, stif=0.975
j:4, 3
",1
f0,0-1,1,best,8,0.10840005897849792,"//0
p:fr=1.057
p:1.098, 0.027, 0.026
p:0.999, 0.265, 0.629, ing=0.075
p:1.447, -0.267, 0.457
p:0.717, 0.038, 1.349, ing=0.268
j:3, 2, rotstif=0.99
j:1, 2
j:0, 2, stif=0.975
j:4, 3
",1
f0,0-1,1,best,9,0.10840005897849792,"//0
p:fr=1.057
p:1.098, 0.027, 0.026
p:0.999, 0.265, 0.629, ing=0.075
p:1.447, -0.267, 0.457
p:0.717, 0.038, 1.349, ing=0.268
j:3, 2, rotstif=0.99
j:1, 2, rotstif=0.87
j:0, 2, stif=0.975
j:4, 3
",1
f0,0-1,1,best,10,0.10272650224791728,"//0
p:fr=1.057
p:1.098, 0.027, 0.026
p:0.999, 0.265, 0.629, ing=0.075
p:1.447, -0.267, 0.457
p:0.332, 0.109, 1.502, ing=0.268
j:3, 2, rotstif=0.99
j:1, 2, rotstif=0.87
j:0, 2, stif=0.975
j:4, 3
",1
f0,0-1,1,best,11,0.07820719019255463,"//0
p:fr=1.057
p:1.098, 0.027, 0.026
p:0.999, 0.265, 0.629, ing=0.075
p:1.447, -0.267, 0.457
p:0.332, 0.109, 1.502, ing=0.268
j:3, 4, rotstif=0.99
j:1, 4, rotstif=0.87
j:0, 4, stif=0.975
j:2, 3
",1
